"Drug Name","NDC #","Total Rxs","Quantity","Total",
"TRIAMCINOLONE ACETONIDE 0.1 % EXTERNAL CREAM","21922-0062-15","3","240","23.66"
"CARVEDILOL 3.125MG TAB ***","68382-0092-05","2","240","3.81"
"LACOSAMIDE 100MG TABLET","62332-0172-60","2","240","66.53"
"CICLOPIROX 1 % EXTERNAL SHAMPOO","45802-0401-09","2","240","57.89"
"QUETIAPINE 25MG TABLET","67877-0242-01","4","231","39.45"
"ALBUTEROL SULFATE 0.63 MG/3ML INHALATION NEBULIZATION SOLUTION","00378-7057-52","2","225","41.43"
"OXYCODONE-ACETAMINOPHEN 5-325 MG ORAL TABLET","47781-0196-01","3","225","35.92"
"CLOTRIMAZOLE 1% CREAM ***","51672-1275-06","5","225","52.25"
"LEVALBUTEROL HCL 0.63 MG/3ML INHALATION NEBULIZATION SOLUTION","76204-0800-25","1","225","40.31"
"MYRBETRIQ 50MG TABLET***","00469-2602-30","3","210","3078.07"
"ESOMEPRAZOLE 40MG CAPSULE DR","70377-0056-12","3","210","46.64"
"GEMTESA 75MG TABLET","73336-0075-30","3","210","3378.12"
"TOPIRAMATE 50MG TAB ***","68382-0139-05","4","210","26.93"
"BUPROPION HCL ER (XL) 300MG TABLET","69097-0072-12","5","210","60.54"
"DICLOFENAC SOD 75MG TAB DR ***","61442-0103-05","5","210","48.22"
"AMIODARONE 200MG TABLET","65862-0732-05","3","210","22.26"
"ATENOLOL-CHLORTHALIDONE 50-25MG TABLET","70710-1167-01","3","210","51.70"
"LISINOPRIL-HCTZ 20-12.5MG TAB ***","68180-0519-02","3","210","4.69"
"DICLOFENAC SODIUM 3 % EXTERNAL GEL","45802-0111-01","2","200","84.30"
"PSEUDOEPH-BROMPHEN-DM 30-2-10 MG/5ML ORAL SYRUP","42192-0607-16","1","200","9.12"
"LO-ZUMANDIMINE 3-0.02 MG ORAL TABLET","59651-0029-88","3","196","43.19"
"CLONIDINE 0.1MG TAB ***","52817-0180-10","4","193","34.91"
