"Drug Name","NDC #","QOH","Total Rxs","Quantity","Acq Cost","Total","Margin","Profit Pct","Min QOH","Pkg Size",
"VERAPAMIL ER 240MG TABLET","68462-0260-05","-5640","3","270","291.24","22.47","-1196.13%","-92.28%","0","500"
"CICLOPIROX 0.77% CREAM ***","51672-1318-08","-3510","3","270","259.89","98.36","-164.22%","-62.15%","0","90"
"OLMESARTAN 40MG TABLET","68462-0438-90","-5310","3","270","2230.74","43.39","-5041.14%","-98.05%","0","90"
"CARBIDOPA-LEVODOPA 25-100 MG TABLET ***","00093-9702-10","-19665","1","270","243.00","27.34","-788.81%","-88.75%","0","1000"
"METFORMIN 750MG TABLET ER","51224-0107-60","-7650","2","270","250.13","12.90","-1838.99%","-94.84%","0","500"
"VALSARTAN-HCTZ 160-12.5MG TABLET","00378-6322-77","-2100","3","270","992.37","57.04","-1639.78%","-94.25%","0","90"
"BENZONATATE 100MG CAPSULE NYM","42806-0714-05","-1160","6","262","511.36","79.44","-543.71%","-84.46%","0","500"
"CLOBETASOL PROPIONATE 0.05 % SOLUTION","33342-0321-86","-3500","5","250","2000.00","227.26","-780.05%","-88.64%","0","50"
"TRELEGY ELLIPTA 100-62.5-25MCG/INH AEROSOL","00173-0887-10","-17760","2","240","2253.48","2535.04","11.11%","12.49%","0","60"
"MYRBETRIQ 50MG TABLET***","00469-2602-30","-7200","4","240","4800.00","3556.00","-34.98%","-25.92%","0","30"
"FLUTICASONE-SALMETEROL 250-50 MCG/ACT INH AEROSOL","00054-0327-56","-15720","4","240","1544.84","247.49","-524.2%","-83.98%","0","60"
"LEVETIRACETAM 500MG TAB ***","31722-0537-05","-15075","2","240","725.35","36.32","-1897.11%","-94.99%","0","500"
"LEVOTHYROXINE 125MCG TABLET","68180-0971-03","-8778","4","240","135.98","58.46","-132.6%","-57.01%","0","1000"
"PROPRANOLOL 10MG TABLET ***","69238-2077-01","-9672","4","240","84.12","29.94","-180.96%","-64.41%","0","100"
"ROSUVASTATIN 5MG TABLET","70377-0006-13","-8010","4","240","1846.22","17.27","-10590.33%","-99.06%","0","500"
"PROPRANOLOL HCL 20 MG ORAL TABLET","69238-2078-07","-1860","3","240","99.90","31.47","-217.45%","-68.5%","0","1000"
"FLUOCINONIDE 0.05% EXTERNAL SOLUTION","51672-1273-04","-10320","4","240","398.68","102.99","-287.11%","-74.17%","0","60"
"RYBELSUS 14MG TABLET","00169-4314-30","-5998","4","240","7725.68","7652.32","-0.96%","-0.95%","0","30"
"TRIAMCINOLONE ACETONIDE 0.1 % EXTERNAL CREAM","21922-0062-15","-1840","3","240","32.49","12.65","-156.84%","-61.06%","0","80"
"TRIAMCINOLONE ACETONIDE 0.025 % EXTERNAL CREAM ***","45802-0063-36","-8160","3","240","26.07","23.19","-12.42%","-11.05%","0","80"
"LEVETIRACETAM 750MG TABLET","31722-0538-12","-8010","3","240","799.84","35.84","-2131.7%","-95.52%","0","120"
"PROMETHAZINE HCL 6.25 MG/5ML ORAL SOLUTION","00121-1854-16","-240","1","240","20.95","6.91","-203.18%","-67.02%","0","473"
"CICLOPIROX 1 % EXTERNAL SHAMPOO","45802-0401-09","-2040","2","240","200.00","57.89","-245.48%","-71.06%","0","120"
"ROBAFEN DM 20-200 MG/20ML ORAL LIQUID","00904-7223-59","-2132","1","236","2.54","13.72","81.49%","440.16%","0","237"
"MUPIROCIN 2 % EXTERNAL OINTMENT","51672-1312-01","-5340","8","225","219.90","84.97","-158.8%","-61.36%","0","15"
"LEVALBUTEROL HCL 0.63 MG/3ML INHALATION NEBULIZATION SOLUTION","76204-0800-25","-1350","1","225","129.00","40.31","-220.02%","-68.75%","0","75"
